song_name,cleaned_artists,popularity
Depression & Obsession,XXXTENTACION,71
Save Me,XXXTENTACION,69
Carry On,XXXTENTACION,74
Now Or Never,Halsey,71
Castle on the Hill,Ed Sheeran,78
You Look Good,Lady Antebellum,59
Younger Now,Miley Cyrus,61
Honest,The Chainsmokers,61
Flatliner,2017 Dynamo Hitz,0
For Her,Chris Lane,59
Patty Cake,Kodak Black,65
Untouchable,YoungBoy Never Broke Again,60
Privacy,Chris Brown,63
In Case You Didn't Know,Brett Young,69
Malibu,Miley Cyrus,76
Bad Liar,Selena Gomez,72
First Day Out,Tee Grizzley,71
El Amante,Nicky Jam,71
Issues,Julia Michaels,72
Rolex,Ayo & Teo,72
Passionfruit,Drake,78
Learn To Let Go,Kesha,56
Signs,Drake,69
Numb,Linkin Park,79
In the End,Linkin Park,81
Issues,Meek Mill,47
Wins & Losses,Meek Mill,54
1942 Flows,Meek Mill,57
Yours If You Want It,Rascal Flatts,56
Imitadora,Romeo Santos,69
Heavy Heart,Meek Mill,45
24K Magic,Bruno Mars,76
Crying in the Club,Camila Cabello,73
Every Time I Hear That Song,Blake Shelton,58
The Cure,Lady Gaga,70
Weak,AJR,69
ELEMENT.,Kendrick Lamar,70
Hurricane,Luke Combs,76
Get Low,2017 DJ Mo Fleeks,0
Famous,21 Savage,55
goosebumps,Travis Scott,82
T-Shirt,Migos,69
Tunnel Vision,Kodak Black,72
Sign of the Times,Harry Styles,75
Who Dat Boy,"['A$AP Rocky', 'Tyler, The Creator']",68
Losin Control,Russ,75
How Not To,Dan + Shay,66
If I Told You,Darius Rucker,63
Scars To Your Beautiful,Alessia Cara,75
Look At Me!,XXXTENTACION,76
First Day Out,Kodak Black,53
My Old Man,Zac Brown Band,57
Nobody Else but You,Trey Songz,65
Swang,Rae Sremmurd,72
Black,Dierks Bentley,62
Hometown Girl,Josh Turner,67
Gyalchester,Drake,68
Scared to Be Lonely,"['Martin Garrix', 'Dua Lipa']",79
Human,Rag'n'Bone Man,77
Paris,The Chainsmokers,74
Somethin Tells Me,Bryson Tiller,58
Me Enamoré,Shakira,69
Self-Made,Bryson Tiller,59
Don't Get Too High,Bryson Tiller,52
Run Me Dry,Bryson Tiller,66
No Longer Friends,Bryson Tiller,53
Boy,Lee Brice,65
Either Way,Chris Stapleton,59
Any Ol' Barstool,Jason Aldean,49
Love On The Brain,Rihanna,76
I Don’t Wanna Live Forever (Fifty Shades Darker),"['Taylor Swift', 'ZAYN']",75
Bounce Back,Big Sean,74
The Weekend,Brantley Gilbert,57
PRBLMS,6LACK,72
Yeah Boy,Kelsea Ballerini,61
Everybody,Logic,68
The Night We Met,Lord Huron,75
Galway Girl,Ed Sheeran,79
Moves,Big Sean,65
Down,Marian Hill,61
CAN’T STOP THE FEELING!,Rockabye Baby!,33
First Time,"['Kygo', 'Ellie Goulding']",69
YAH.,Kendrick Lamar,62
Sweet Creature,Harry Styles,71
Call on Me,Starley,41
You're Welcome,Dwayne Johnson,72
Mercy,Shawn Mendes,79
FEEL.,Kendrick Lamar,62
PRIDE.,Kendrick Lamar,63
LUST.,Kendrick Lamar,62
Green Light,Lorde,71
How Far I'll Go,Auli'i Cravalho,72
Hard Times,Paramore,70
FEAR.,Kendrick Lamar,62
No Frauds,2017 Dynamo Hitz,0
GOD.,Kendrick Lamar,61
Deja Vu,J. Cole,68
BLOOD.,Kendrick Lamar,58
DUCKWORTH.,Kendrick Lamar,62
Fast,Luke Bryan,59
Fake Love,Drake,72
Play That Song,Train,66
Free Smoke,Drake,63
Road Less Traveled,Lauren Alaina,36
The One,The Chainsmokers,62
Draco,Future,54
Blem,Drake,64
Think a Little Less,Michael Ray,59
Teenage Fever,Drake,70
Bar at the End of the World,Kenny Chesney,54
Million Reasons,Lady Gaga,77
Water Under the Bridge,Adele,65
Tin Man,Miranda Lambert,61
The Heart Part 4,Kendrick Lamar,48
Jorja Interlude,Drake,59
Madiba Riddim,Drake,62
Do Not Disturb,Drake,68
Can't Have Everything,Drake,58
Party Monster,The Weeknd,69
Nothings Into Somethings,Drake,57
Lose You,Drake,56
Skepta Interlude,Drake,57
Heathens,Twenty One Pilots,79
Caroline,Aminé,75
Regret In Your Tears,Nicki Minaj,53
Better Man,Little Big Town,62
Chanel,Frank Ocean,74
Liability,Lorde,68
I Got You,Bebe Rexha,62
Dive,Ed Sheeran,76
Today,Brad Paisley,53
Selfish,PnB Rock,71
Happier,Ed Sheeran,81
All Time Low,Jon Bellion,71
New Man,Ed Sheeran,70
Supermarket Flowers,Ed Sheeran,76
What Do I Know?,Ed Sheeran,71
How Would You Feel (Paean),Ed Sheeran,70
Eraser,Ed Sheeran,66
Hearts Don't Break Around Here,Ed Sheeran,70
Barcelona,Ed Sheeran,70
Star Of The Show,Thomas Rhett,56
A Guy with a Girl,Blake Shelton,64
Treat You Better,Shawn Mendes,82
Love,Lana Del Rey,71
Love Me Now,John Legend,65
Not Nice,PARTYNEXTDOOR,64
This Town,Niall Horan,73
Rent Money,Future,56
Guys My Age,Hey Violet,62
Seein' Red,Dustin Lynch,58
Super Trapper,Future,48
Dancing On My Own,Calum Scott,80
Zoom,Future,47
Helium,Sia,64
Héroe Favorito,Romeo Santos,63
Way Down We Go,KALEO,73
Everything 1k,Kodak Black,45
Wanna Be That Song,Brett Eldredge,57
Sex With Me,Rihanna,62
Bad Romance,Lady Gaga,53
HandClap,Fitz and The Tantrums,63
Halfway Off The Balcony,Big Sean,52
Jump Out The Window,Big Sean,68
Owe Me,Big Sean,53
Beauty and the Beast,"['John Legend', 'Ariana Grande']",65
80s Mercedes,Maren Morris,62
OTW,DJ Luke Nasty,49
Blue Ain't Your Color,Keith Urban,52
Call Casting,Migos,53
Get Right Witcha,Migos,64
If the Boot Fits,Granger Smith,53
Dirty Laundry,Carrie Underwood,57
Fresh Eyes,Andy Grammer,69
Alone,Marshmello,76
Love on the Weekend,John Mayer,65
Song for Another Time,Old Dominion,65
Water,Ugly God,59
You Was Right,Lil Uzi Vert,70
In the Name of Love,"['Martin Garrix', 'Bebe Rexha']",79
Not Afraid Anymore,Halsey,52
Red Opps,21 Savage,59
Neighbors,J. Cole,70
Parachute,Chris Stapleton,69
Just Hold On,2016 Dynamo Hitz,11
beibs in the trap,Travis Scott,69
OOOUUU,Young M.A,62
Sleep Without You,Brett Young,63
Drinkin' Too Much,Sam Hunt,48
Immortal,J. Cole,64
What They Want,Russ,70
Unsteady,X Ambassadors,75
How I'll Always Be,Tim McGraw,53
Hallelujah,Pentatonix,63
Shaky Shaky,Daddy Yankee,66
Faith,George Michael,41
No Flockin,Kodak Black,68
hate u love u,Olivia O'Brien,76
"Mary, Did You Know?",Pentatonix,52
Change,J. Cole,63
Ville Mentality,J. Cole,61
For Whom The Bell Tolls,J. Cole,58
Six Feet Under,The Weeknd,65
Foldin Clothes,J. Cole,58
4 Your Eyez Only,J. Cole,62
False Prophets,J. Cole,58
everybody dies,J. Cole,59
Darlin' Don't Go,Sundance Head,30
Die For You,The Weeknd,72
Ride,Twenty One Pilots,80
Needed Me,Rihanna,72
Tiimmy Turner,Desiigner,70
Secrets,The Weeknd,67
Me and Your Mama,Childish Gambino,64
True Colors,The Weeknd,66
Middle of a Memory,Cole Swindell,64
Rockin',Molotov Cocktail Piano,0
That's My Girl,Fifth Harmony,69
False Alarm,The Weeknd,65
Attention,The Weeknd,62
Ordinary Life,The Weeknd,62
Nothing Without You,The Weeknd,62
A Lonely Night,The Weeknd,63
Love To Lay,The Weeknd,61
Distraction,Kehlani,61
A Little More Summertime,Jason Aldean,36
Look Alive,Rae Sremmurd,62
Fade,Kanye West,66
Gold,Kiiara,68
Panda,Desiigner,72
LUV,Tory Lanez,66
My Way,Calvin Harris,75
Ain't My Fault,Zara Larsson,69
Move,Luke Bryan,60
Vice,Miranda Lambert,59
Infinite,Eminem,53
Send My Love (To Your New Lover),Adele,69
Hallelujah,Leonard Cohen,62
We The People....,A Tribe Called Quest,55
It Don't Hurt Like It Used To,Billy Currington,66
Shout Out to My Ex,Little Mix,75
"Sit Still, Look Pretty",Daya,65
Money Longer,Lil Uzi Vert,74
I Know Somebody,LOCASH,57
"Wat U Mean (Aye, Aye, Aye)",Dae Dae,51
Hold Up,Beyoncé,75
Gangsta,Kehlani,68
Hymn for the Weekend,Coldplay,75
"Two Birds, One Stone",Drake,48
On the Regular,Meek Mill,49
Blue Notes,Meek Mill,62
Blessed Up,Meek Mill,46
Cool Girl,Tove Lo,67
Into You,Ariana Grande,78
Controlla,Drake,72
A-YO,Lady Gaga,58
Perfect Illusion,Lady Gaga,64
CRZY,Kehlani,60
Blow Your Mind (Mwah),Dua Lipa,68
I Met a Girl,William Michael Morgan,52
Just Like Fire,Midnite String Quartet,2
Father Stretch My Hands Pt. 1,Kanye West,71
Peter Pan,Kelsea Ballerini,61
Kids,OneRepublic,61
Cranes in the Sky,Solange,62
Make You Miss Me,Sam Hunt,67
LIFTED,CL,50
I Took A Pill In Ibiza,Mike Posner,54
H.O.L.Y.,Florida Georgia Line,71
Mama Said,Lukas Graham,64
Me Too,Meghan Trainor,70
With You Tonight (Hasta El Amanecer),Nicky Jam,49
You Look Like I Need A Drink,Justin Moore,56
7 Years,Lukas Graham,77
Cancer,Twenty One Pilots,65
MY PYT,Wale,56
Grass Ain't Greener,Chris Brown,59
Stressed Out,Twenty One Pilots,81
Don't Mind,Kent Jones,66
Rise,Katy Perry,64
She's Got a Way with Words,Blake Shelton,56
Childs Play,Drake,64
American Country Love Song,Jake Owen,63
Sorry,Beyoncé,72
From the Ground Up,Dan + Shay,66
Kill Em With Kindness,Selena Gomez,67
Famous,Kanye West,70
Cake By The Ocean,DNCE,78
Wicked,Future,60
Wyclef Jean,Young Thug,65
Record Year,Eric Church,66
Church Bells,Carrie Underwood,64
Love Yourself,Justin Bieber,80
Nikes,Frank Ocean,69
Ivy,Frank Ocean,74
Pink + White,Frank Ocean,74
Solo,Frank Ocean,66
Nights,Frank Ocean,75
Uber Everywhere,MadeinTYO,64
Hit or Miss,Jacob Sartorius,48
Fix,Chris Lane,58
Toothbrush,DNCE,70
Lights Come On,Jason Aldean,40
Castaway,Zac Brown Band,62
No Money,Galantis,71
Wasted Time,Keith Urban,40
Let It Go,James Bay,72
Sorry,Justin Bieber,78
Head Over Boots,Jon Pardi,72
Bohemian Rhapsody,Panic! At The Disco,62
Wake Up,Fetty Wap,56
"Huntin', Fishin' And Lovin' Every Day",Luke Bryan,66
My House,Flo Rida,74
Dangerous Woman,Ariana Grande,76
Lush Life,Zara Larsson,76
Brand New,Ben Rector,63
Wherever I Go,OneRepublic,63
Lost Boy,Ruth B.,75
